root_id,group,message_depth,message_id,from,to,date,subject,message_body,nchar_fulltext,nchar_body,nchar_log,nchar_code,nchar_quot,group1,group2,group3,group4,stratum,from_trees,text,id,cleaned_text
<CzRYIaqvBW/uhD+u@example.com>,gmane.linux.lfs.clfs.support,1.0,<ymxmbUBWmYMtCjyJ@example.com>,iFORxL0EYz97jJMP@example.com,aETJwtFuXHpQGn0+@example.com,2007-06-14 22:52:47-04:00,Re: Cannot find bcopy(),"<gmane_tag_quotation_marker> <gmane_tag_quotation> symbol is found in the header. The object apparently compiles fine. I'm 
not that familiar with uclibc but because it's so modular I bet it's 
built without bcopy support. (I can only speculate here, I have nothing 
to test). A quick browse through the source code shows me that bcopy 
will exist if __UCLIBC_SUSV3_LEGACY__ is defined.",897.0,386.0,0.0,0.0,562.0,linux,lfs,clfs,support,0,True,"<span style=""background-color: #e8baba;"">Re: Cannot find bcopy()</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""> </span><span style=""background-color: #edebeb;color: #999999;"">quotation</span><span style=""background-color: #e8baba;""><br> symbol is found in the header. The object apparently compiles fine. I'm <br>not that familiar with uclibc but because it's so modular I bet it's <br>built without bcopy support. (I can only speculate here, I have nothing <br>to test). A quick browse through the source code shows me that bcopy <br>will exist if __UCLIBC_SUSV3_LEGACY__ is defined.</span>",0,"Re: Cannot find bcopy() 
  <quotation> symbol is found in the header. The object apparently compiles fine. I'm 
not that familiar with uclibc but because it's so modular I bet it's 
built without bcopy support. (I can only speculate here, I have nothing 
to test). A quick browse through the source code shows me that bcopy 
will exist if __UCLIBC_SUSV3_LEGACY__ is defined."
<GHr1h5kIkXUNFsvQ@example.com>,gmane.comp.python.python-3000.devel,3.0,<UoYuNFi5oDmtfWb6@example.com>,eIKian+pjwAQ4Q8X@example.com,S3fZCLlgJxjCwuTd@example.com,2007-11-03 15:52:09-07:00,"Re: need help fixing broken tests in py3k-pep3137
	branch","<gmane_tag_quotation_marker> <gmane_tag_quotation> This behavior is correct -- it is how it always worked in 2.x. The
array module writes machine specific data in general (try floats or
doubles or ints). For machine-independent binary data, the struct
module can help.

 <gmane_tag_visual_separator> <gmane_tag_personal_signature>",682.0,330.0,0.0,0.0,398.0,comp,python,python-3000,devel,10,True,"<span style=""background-color: #e8baba;"">Re: need help fixing broken tests in py3k-pep3137
	branch</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""> </span><span style=""background-color: #edebeb;color: #999999;"">quotation</span><span style=""background-color: #e8baba;""><br> This behavior is correct -- it is how it always worked in 2.x. The<br>array module writes machine specific data in general (try floats or<br>doubles or ints). For machine-independent binary data, the struct<br>module can help.<br><br>  </span>",1,"Re: need help fixing broken tests in py3k-pep3137
	branch 
  <quotation> This behavior is correct -- it is how it always worked in 2.x. The
array module writes machine specific data in general (try floats or
doubles or ints). For machine-independent binary data, the struct
module can help.

  "
<25076180.1158523100082.JavaMail.Twebapp@oss-app1>,gmane.os.solaris.opensolaris.zfs,7.0,<tDf5/cPqsQ0n0TLx@example.com>,NCl5i2Lqfvkhe0oY@example.com,,2006-09-23 03:57:04-05:00,Re: Re: Re: low disk performance,"<gmane_tag_quotation_marker> <gmane_tag_quotation> What is strange, is that this is almost all writes.  Do you have
the rsync running at this time?  A scrub alone should not look
like this.

I have also observed some strange behavior on a 4 disk raidz,
which may be related.  It is possible to saturate a single disk,
while all the others in the same vdev are completely idle.  It
is very easy to reproduce, so try the following:

Create a filesystem with a 4k recordsize on a 4 disk raidz.
Now, copy a large file to it, while observing 'iostat -xnz 5'.
This is the worst case I have been able to produce, but the
imbalance is apparent even with an untar at the default
recordsize.

Interestingly, it is always the last disk in the set which is busy.
This behavior does not occur with a 3 disk raidz, nor is it as
bad with other record sizes.

 <gmane_tag_closing>",1319.0,864.0,0.0,0.0,521.0,os,solaris,opensolaris,zfs,11,True,"<span style=""background-color: #e8baba;"">Re: Re: Re: low disk performance</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""> </span><span style=""background-color: #edebeb;color: #999999;"">quotation</span><span style=""background-color: #e8baba;""><br> What is strange, is that this is almost all writes.  Do you have<br>the rsync running at this time?  A scrub alone should not look<br>like this.<br><br>I have also observed some strange behavior on a 4 disk raidz,<br>which may be related.  It is possible to saturate a single disk,<br>while all the others in the same vdev are completely idle.  It<br>is very easy to reproduce, so try the following:<br><br>Create a filesystem with a 4k recordsize on a 4 disk raidz.<br>Now, copy a large file to it, while observing 'iostat -xnz 5'.<br>This is the worst case I have been able to produce, but the<br>imbalance is apparent even with an untar at the default<br>recordsize.<br><br>Interestingly, it is always the last disk in the set which is busy.<br>This behavior does not occur with a 3 disk raidz, nor is it as<br>bad with other record sizes.<br><br> </span><span style=""background-color: #edebeb;color: #999999;"">closing</span><span style=""background-color: #e8baba;""><br></span>",2,"Re: Re: Re: low disk performance 
  <quotation> What is strange, is that this is almost all writes.  Do you have
the rsync running at this time?  A scrub alone should not look
like this.

I have also observed some strange behavior on a 4 disk raidz,
which may be related.  It is possible to saturate a single disk,
while all the others in the same vdev are completely idle.  It
is very easy to reproduce, so try the following:

Create a filesystem with a 4k recordsize on a 4 disk raidz.
Now, copy a large file to it, while observing 'iostat -xnz 5'.
This is the worst case I have been able to produce, but the
imbalance is apparent even with an untar at the default
recordsize.

Interestingly, it is always the last disk in the set which is busy.
This behavior does not occur with a 3 disk raidz, nor is it as
bad with other record sizes.

 <closing>"
,gmane.comp.gdb.top-level.cvs,,<73dssIMz61fDC+tc@example.com>,YP2/c5Uq3BBPBJa3@example.com,d6e8Di4cggWsWz0r@example.com,2007-09-14 14:51:36+00:00,src ChangeLog configure configure.ac,"<gmane_tag_tabular> <gmane_tag_log_data> <gmane_tag_tabular> <gmane_tag_log_data> 	to $skipdirs and only disable gprof for newlib.  Use the normal
	mips*-elf* handling in other respects.
 <gmane_tag_log_data> <gmane_tag_tabular> http://sourceware.org/cgi-bin/cvsweb.cgi/src/ChangeLog.diff?cvsroot=src&r1=1.758&r2=1.759
http://sourceware.org/cgi-bin/cvsweb.cgi/src/configure.diff?cvsroot=src&r1=1.276&r2=1.277
http://sourceware.org/cgi-bin/cvsweb.cgi/src/configure.ac.diff?cvsroot=src&r1=1.24&r2=1.25",657.0,499.0,111.0,0.0,0.0,comp,gdb,top-level,cvs,dev1,False,"<span style=""background-color: #e8baba;"">src ChangeLog configure configure.ac</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""></span><span style=""background-color: #edebeb;color: #999999;"">tabular</span><span style=""background-color: #e8baba;""><br> </span><span style=""background-color: #edebeb;color: #999999;"">log</span><span style=""background-color: #e8baba;""><br> </span><span style=""background-color: #edebeb;color: #999999;"">tabular</span><span style=""background-color: #e8baba;""><br> </span><span style=""background-color: #edebeb;color: #999999;"">log</span><span style=""background-color: #e8baba;""><br> 	to $skipdirs and only disable gprof for newlib.  Use the normal<br>	mips*-elf* handling in other respects.<br> </span><span style=""background-color: #edebeb;color: #999999;"">log</span><span style=""background-color: #e8baba;""><br> </span><span style=""background-color: #edebeb;color: #999999;"">tabular</span><span style=""background-color: #e8baba;""><br> http://sourceware.org/cgi-bin/cvsweb.cgi/src/ChangeLog.diff?cvsroot=src&r1=1.758&r2=1.759<br>http://sourceware.org/cgi-bin/cvsweb.cgi/src/configure.diff?cvsroot=src&r1=1.276&r2=1.277<br>http://sourceware.org/cgi-bin/cvsweb.cgi/src/configure.ac.diff?cvsroot=src&r1=1.24&r2=1.25</span>",3,"src ChangeLog configure configure.ac 
 <tabular> <log_data> <tabular> <log_data> 	to $skipdirs and only disable gprof for newlib.  Use the normal
	mips*-elf* handling in other respects.
 <log_data> <tabular> http://sourceware.org/cgi-bin/cvsweb.cgi/src/ChangeLog.diff?cvsroot=src&r1=1.758&r2=1.759
http://sourceware.org/cgi-bin/cvsweb.cgi/src/configure.diff?cvsroot=src&r1=1.276&r2=1.277
http://sourceware.org/cgi-bin/cvsweb.cgi/src/configure.ac.diff?cvsroot=src&r1=1.24&r2=1.25"
<jd4UBUW7aLBUImQs@example.com>,gmane.comp.lang.r.general,0.0,<jd4UBUW7aLBUImQs@example.com>,0E8LGHsJH76p8IPi@example.com,EilfjcKxBpzCv8Eb@example.com,2009-07-01 17:17:50+02:00,"Is there a way to extract some fields data from HTML pages
	through any R function ?","I deal with a huge amount of Biology data stored in different databases.
The databases belongig to Bioconductor organization can be accessed through Bioconductor packages.
Unluckily some useful data is stored in databases like, for instance, miRDB, miRecords, etc ... which offer just an
interactive HTML interface. See for instance
 http://mirdb.org/cgi-bin/search.cgi, 
 http://mirecords.umn.edu/miRecords/interactions.php?species=Homo+sapiens&mirna_acc=Any&targetgene_type=refseq_acc&targetgene_info=&v=yes&search_int=Search

Downloading data manually from the web pages is a painstaking time-consumung and error-prone activity.
I came across a Python script that downloads (dumps) whole web pages  into a text file that is then parsed.
This is possible because Python has a library to access web pages.
But I have no experience with Python programming nor I like such a programming language whose syntax is indentation-sensitive.

I am *hoping* that there exists some sort of web pages, HTML connection  from R ... is there ??

Thank you very much for any suggestion.
 <gmane_tag_closing> tutti i telefonini TIM!


 <gmane_tag_raw_code>",1143.0,1140.0,0.0,38.0,0.0,comp,lang,r,general,1,True,"<span style=""background-color: #e8baba;"">Is there a way to extract some fields data from HTML pages
	through any R function ?</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;"">I deal with a huge amount of Biology data stored in different databases.<br>The databases belongig to Bioconductor organization can be accessed through Bioconductor packages.<br>Unluckily some useful data is stored in databases like, for instance, miRDB, miRecords, etc ... which offer just an<br>interactive HTML interface. See for instance<br> http://mirdb.org/cgi-bin/search.cgi, <br> http://mirecords.umn.edu/miRecords/interactions.php?species=Homo+sapiens&mirna_acc=Any&targetgene_type=refseq_acc&targetgene_info=&v=yes&search_int=Search<br><br>Downloading data manually from the web pages is a painstaking time-consumung and error-prone activity.<br>I came across a Python script that downloads (dumps) whole web pages  into a text file that is then parsed.<br>This is possible because Python has a library to access web pages.<br>But I have no experience with Python programming nor I like such a programming language whose syntax is indentation-sensitive.<br><br>I am *hoping* that there exists some sort of web pages, HTML connection  from R ... is there ??<br><br>Thank you very much for any suggestion.<br> </span><span style=""background-color: #edebeb;color: #999999;"">closing</span><span style=""background-color: #e8baba;""><br> tutti i telefonini TIM!<br><br><br> </span><span style=""background-color: #edebeb;color: #999999;"">code</span><span style=""background-color: #e8baba;""><br></span>",4,"Is there a way to extract some fields data from HTML pages
	through any R function ? 
 I deal with a huge amount of Biology data stored in different databases.
The databases belongig to Bioconductor organization can be accessed through Bioconductor packages.
Unluckily some useful data is stored in databases like, for instance, miRDB, miRecords, etc ... which offer just an
interactive HTML interface. See for instance
 http://mirdb.org/cgi-bin/search.cgi, 
 http://mirecords.umn.edu/miRecords/interactions.php?species=Homo+sapiens&mirna_acc=Any&targetgene_type=refseq_acc&targetgene_info=&v=yes&search_int=Search

Downloading data manually from the web pages is a painstaking time-consumung and error-prone activity.
I came across a Python script that downloads (dumps) whole web pages  into a text file that is then parsed.
This is possible because Python has a library to access web pages.
But I have no experience with Python programming nor I like such a programming language whose syntax is indentation-sensitive.

I am *hoping* that there exists some sort of web pages, HTML connection  from R ... is there ??

Thank you very much for any suggestion.
 <closing> tutti i telefonini TIM!


 <raw_code>"
,gmane.linux.ubuntu.bugs.desktop,,<29009.618520695$Jmuw7i4ptc2sVCN4@example.com>,76mzwJx14uuw4XpE@example.com,nVy2iX/XCDUxjHuS@example.com,2007-09-29 23:27:53+00:00,[Bug 146993] Games entry has disappeared from my Applications pulldown,"<gmane_tag_mua_signature> After update-manager -d, performed on 28 September 2007, the ""Games""
entry mysteriously vanished from the Applications pulldown in my upper
panel.  All other entries remained.

If there's any sort of log analysis or diagnostic that could help pin
this down, I'm willing -- but I have no idea where to start looking

 <gmane_tag_tabular> <gmane_tag_visual_separator> <gmane_tag_mua_signature>",674.0,417.0,0.0,0.0,0.0,linux,ubuntu,bugs,desktop,dev1,False,"<span style=""background-color: #e8baba;"">[Bug 146993] Games entry has disappeared from my Applications pulldown</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""> After update-manager -d, performed on 28 September 2007, the ""Games""<br>entry mysteriously vanished from the Applications pulldown in my upper<br>panel.  All other entries remained.<br><br>If there's any sort of log analysis or diagnostic that could help pin<br>this down, I'm willing -- but I have no idea where to start looking<br><br> </span><span style=""background-color: #edebeb;color: #999999;"">tabular</span><span style=""background-color: #e8baba;""><br>  </span>",5,"[Bug 146993] Games entry has disappeared from my Applications pulldown 
  After update-manager -d, performed on 28 September 2007, the ""Games""
entry mysteriously vanished from the Applications pulldown in my upper
panel.  All other entries remained.

If there's any sort of log analysis or diagnostic that could help pin
this down, I'm willing -- but I have no idea where to start looking

 <tabular>  "
<bfAN9iasc8CCXtog@example.com>,gmane.politics.marxism.marxmail,0.0,<bfAN9iasc8CCXtog@example.com>,wp4X+1zHXnl5mCf6@example.com,ggQDtSNHrmP5dlyk@example.com,2007-09-09 11:40:41-05:00,Re: Workerism,"<gmane_tag_salutation> I agree that workerism is not a good strategy for organizing but if
not the workingclass, then which class is the most revolutionary
class?  I don't trust wikipedia but click on
http://en.wikipedia.org/wiki/Workerism to see how they define it.

Errors of Workerism at
http://marxists.anu.edu.au/history/international/comintern/sections/sacp/1986/workerism.htm


 <gmane_tag_personal_signature> <gmane_tag_visual_separator> <gmane_tag_mua_signature>",623.0,471.0,0.0,0.0,0.0,politics,marxism,marxmail,,1,True,"<span style=""background-color: #e8baba;"">Re: Workerism</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""></span><span style=""background-color: #edebeb;color: #999999;"">salutation</span><span style=""background-color: #e8baba;""><br> I agree that workerism is not a good strategy for organizing but if<br>not the workingclass, then which class is the most revolutionary<br>class?  I don't trust wikipedia but click on<br>http://en.wikipedia.org/wiki/Workerism to see how they define it.<br><br>Errors of Workerism at<br>http://marxists.anu.edu.au/history/international/comintern/sections/sacp/1986/workerism.htm<br><br><br>   </span>",6,"Re: Workerism 
 <salutation> I agree that workerism is not a good strategy for organizing but if
not the workingclass, then which class is the most revolutionary
class?  I don't trust wikipedia but click on
http://en.wikipedia.org/wiki/Workerism to see how they define it.

Errors of Workerism at
http://marxists.anu.edu.au/history/international/comintern/sections/sacp/1986/workerism.htm


   "
<Fx9pV1aqR3os9gOK@example.com>,gmane.os.freebsd.devel.hackers,2.0,<8GjykYASn2lKSxO3@example.com>,hojnQRTC2O3Yy4IJ@example.com,,2003-08-17 08:40:25+09:00,Re: Debugging symbols with nasm,"<gmane_tag_quotation_marker> <gmane_tag_quotation> Ok, I've rewritten the patch for nasm-0.98.35(not sure whether the
attachment goes through freebsd-hackers list though). Not used much yet,
but it's funny to see NASM source code and C source code shows up in
the same gdb session.

 <gmane_tag_visual_separator> <gmane_tag_mua_signature>",1760.0,338.0,0.0,0.0,1317.0,os,freebsd,devel,hackers,10,True,"<span style=""background-color: #e8baba;"">Re: Debugging symbols with nasm</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""> </span><span style=""background-color: #edebeb;color: #999999;"">quotation</span><span style=""background-color: #e8baba;""><br> Ok, I've rewritten the patch for nasm-0.98.35(not sure whether the<br>attachment goes through freebsd-hackers list though). Not used much yet,<br>but it's funny to see NASM source code and C source code shows up in<br>the same gdb session.<br><br>  </span>",7,"Re: Debugging symbols with nasm 
  <quotation> Ok, I've rewritten the patch for nasm-0.98.35(not sure whether the
attachment goes through freebsd-hackers list though). Not used much yet,
but it's funny to see NASM source code and C source code shows up in
the same gdb session.

  "
<rb0sDpu47NM9iQsF@example.com>,gmane.comp.lang.groovy.grails.user,1.0,<F/lxUPsCdUKGUudi@example.com>,Hf7bdIeIJ9t+m0l5@example.com,SBg4j/8Qei4GJDQD@example.com,2008-09-26 14:27:06+06:00,"Re: ANN: grails-mail 0.4 released, with screencast","<gmane_tag_quotation_marker> <gmane_tag_quotation> yesterday I tried it. it works...
but I have some issues:

1. how to set body encoding when in html mode? (works when I set 
mailSender.defaultEncoding = ""enc""  in getMessage())
2. how to switch Content-Transfer-Encoding in message (it always 
quoted-printable)
3. it may be very useful - set in addresses not only e-mail but 
recipient name also. I did it with javax.mail.internet.InternetAddress
4. I wait for attachments, alternate plain bodies and all other todo-s :-)

I discover that spring's MimeMailMessage much primitive than 
javax.mail.internet.MimeMessage when I need attachments and exotic encodings


 <gmane_tag_visual_separator> <gmane_tag_mua_signature>",1136.0,721.0,0.0,0.0,361.0,comp,lang,groovy,grails,1,True,"<span style=""background-color: #e8baba;"">Re: ANN: grails-mail 0.4 released, with screencast</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""> </span><span style=""background-color: #edebeb;color: #999999;"">quotation</span><span style=""background-color: #e8baba;""><br> yesterday I tried it. it works...<br>but I have some issues:<br><br>1. how to set body encoding when in html mode? (works when I set <br>mailSender.defaultEncoding = ""enc""  in getMessage())<br>2. how to switch Content-Transfer-Encoding in message (it always <br>quoted-printable)<br>3. it may be very useful - set in addresses not only e-mail but <br>recipient name also. I did it with javax.mail.internet.InternetAddress<br>4. I wait for attachments, alternate plain bodies and all other todo-s :-)<br><br>I discover that spring's MimeMailMessage much primitive than <br>javax.mail.internet.MimeMessage when I need attachments and exotic encodings<br><br><br>  </span>",8,"Re: ANN: grails-mail 0.4 released, with screencast 
  <quotation> yesterday I tried it. it works...
but I have some issues:

1. how to set body encoding when in html mode? (works when I set 
mailSender.defaultEncoding = ""enc""  in getMessage())
2. how to switch Content-Transfer-Encoding in message (it always 
quoted-printable)
3. it may be very useful - set in addresses not only e-mail but 
recipient name also. I did it with javax.mail.internet.InternetAddress
4. I wait for attachments, alternate plain bodies and all other todo-s :-)

I discover that spring's MimeMailMessage much primitive than 
javax.mail.internet.MimeMessage when I need attachments and exotic encodings


  "
<wUisKpqWZU7LCcbf@example.com>,gmane.comp.lib.gnulib.bugs,1.0,<4D3uJDqa7QoHGeI0@example.com>,RsaevKo5pW44w+2w@example.com,Psc+qnIJwHykF5PU@example.com,2009-01-02 02:17:30+01:00,Re: [PATCH 0/4] faster gnulib-tool,"<gmane_tag_salutation> Thank you for your speedups to gnulib-tool. At first I was, of course,
excited about the 2x speedup. But when looking at the maintainability
of the code that you propose, I'm not fine with all of it any more.

My four objections are:

1) You observe that forking programs in a shell script is slow, and
   therefore propose to use more shell built-ins. The problem with it
   is that I chose to implement gnulib-tool in shell (for the control
   structure) and sed (for the text processing). The shell also has
   some inferior commands for string processing, but sed is vastly
   superior for this purpose. I want to stick with 'sed' for the
   text processing, otherwise we write some parts of the code to use
   shell built-ins, and when we notice that a little more text processing
   is required, we have to rewrite the code to use 'sed'. So the use
   of shell built-ins for text processing turns out to be a
   ""premature optimization"" (in the sense of Knuth) and hampers
   maintainability.

   If you want to achieve good speedups for scripts that use 'sed':
   can you work towards making 'sed' a bash built-in? This is challenging,
   but if you are after performance, that would be promising.

2) Your patches change the generation of code so that it goes through
   intermediate shell variables. The problem with this is that the
   transformation from string to standard output is not simple:
     echo $string
   outputs the string plus a newline, and 'echo -n' is not portable.

3) The sed expression sed_cache_module in part 1 of your patch is not
   maintainable. The sed_extract_prog was already complex, but what you
   made of it is beyond what is acceptable in code that should be
   maintained 5 and 10 years from now.

4) There is too much 'eval' in the code. As you have seen in an earlier
   patch today, every use of 'eval' can bring a security problem. The
   only uses of 'eval' that are always safe are variable assignments
 <gmane_tag_raw_code>    when you can guarantee that 'var' is a simple identifier.

And, last not least, more comments would have been better.

So, globally, when you try to cache multiline strings, read from files,
in variables with computed identifiers, you are going far beyond what
shell as a language is suitable for.

Unfortunately, I don't see a better choice as an implementation language
of gnulib-tool:
  - Python is good for text processing but does incompatible changes
    in the language definition every couple of years.
  - Perl is excluded because of the misdesigned syntax, and it also
    has incompatible changes e.g. between perl 5.6 and 5.8.
  - Java is not good because although it is standardized and fast and
    GNU has a free implementation of it, its text processing is not
    expressive enough (too verbose).
  - m4 is maybe powerful but too few people know how to program it.

 <gmane_tag_closing>",2884.0,2905.0,0.0,26.0,0.0,comp,lib,gnulib,bugs,1,True,"<span style=""background-color: #e8baba;"">Re: [PATCH 0/4] faster gnulib-tool</span> <br> <hr size=""2""> <span style=""background-color: #e8baba;""></span><span style=""background-color: #edebeb;color: #999999;"">salutation</span><span style=""background-color: #e8baba;""><br> Thank you for your speedups to gnulib-tool. At first I was, of course,<br>excited about the 2x speedup. But when looking at the maintainability<br>of the code that you propose, I'm not fine with all of it any more.<br><br>My four objections are:<br><br>1) You observe that forking programs in a shell script is slow, and<br>   therefore propose to use more shell built-ins. The problem with it<br>   is that I chose to implement gnulib-tool in shell (for the control<br>   structure) and sed (for the text processing). The shell also has<br>   some inferior commands for string processing, but sed is vastly<br>   superior for this purpose. I want to stick with 'sed' for the<br>   text processing, otherwise we write some parts of the code to use<br>   shell built-ins, and when we notice that a little more text processing<br>   is required, we have to rewrite the code to use 'sed'. So the use<br>   of shell built-ins for text processing turns out to be a<br>   ""premature optimization"" (in the sense of Knuth) and hampers<br>   maintainability.<br><br>   If you want to achieve good speedups for scripts that use 'sed':<br>   can you work towards making 'sed' a bash built-in? This is challenging,<br>   but if you are after performance, that would be promising.<br><br>2) Your patches change the generation of code so that it goes through<br>   intermediate shell variables. The problem with this is that the<br>   transformation from string to standard output is not simple:<br>     echo $string<br>   outputs the string plus a newline, and 'echo -n' is not portable.<br><br>3) The sed expression sed_cache_module in part 1 of your patch is not<br>   maintainable. The sed_extract_prog was already complex, but what you<br>   made of it is beyond what is acceptable in code that should be<br>   maintained 5 and 10 years from now.<br><br>4) There is too much 'eval' in the code. As you have seen in an earlier<br>   patch today, every use of 'eval' can bring a security problem. The<br>   only uses of 'eval' that are always safe are variable assignments<br> </span><span style=""background-color: #edebeb;color: #999999;"">code</span><span style=""background-color: #e8baba;""><br>    when you can guarantee that 'var' is a simple identifier.<br><br>And, last not least, more comments would have been better.<br><br>So, globally, when you try to cache multiline strings, read from files,<br>in variables with computed identifiers, you are going far beyond what<br>shell as a language is suitable for.<br><br>Unfortunately, I don't see a better choice as an implementation language<br>of gnulib-tool:<br>  - Python is good for text processing but does incompatible changes<br>    in the language definition every couple of years.<br>  - Perl is excluded because of the misdesigned syntax, and it also<br>    has incompatible changes e.g. between perl 5.6 and 5.8.<br>  - Java is not good because although it is standardized and fast and<br>    GNU has a free implementation of it, its text processing is not<br>    expressive enough (too verbose).<br>  - m4 is maybe powerful but too few people know how to program it.<br><br> </span><span style=""background-color: #edebeb;color: #999999;"">closing</span><span style=""background-color: #e8baba;""><br></span>",9,"Re: [PATCH 0/4] faster gnulib-tool 
 <salutation> Thank you for your speedups to gnulib-tool. At first I was, of course,
excited about the 2x speedup. But when looking at the maintainability
of the code that you propose, I'm not fine with all of it any more.

My four objections are:

1) You observe that forking programs in a shell script is slow, and
   therefore propose to use more shell built-ins. The problem with it
   is that I chose to implement gnulib-tool in shell (for the control
   structure) and sed (for the text processing). The shell also has
   some inferior commands for string processing, but sed is vastly
   superior for this purpose. I want to stick with 'sed' for the
   text processing, otherwise we write some parts of the code to use
   shell built-ins, and when we notice that a little more text processing
   is required, we have to rewrite the code to use 'sed'. So the use
   of shell built-ins for text processing turns out to be a
   ""premature optimization"" (in the sense of Knuth) and hampers
   maintainability.

   If you want to achieve good speedups for scripts that use 'sed':
   can you work towards making 'sed' a bash built-in? This is challenging,
   but if you are after performance, that would be promising.

2) Your patches change the generation of code so that it goes through
   intermediate shell variables. The problem with this is that the
   transformation from string to standard output is not simple:
     echo $string
   outputs the string plus a newline, and 'echo -n' is not portable.

3) The sed expression sed_cache_module in part 1 of your patch is not
   maintainable. The sed_extract_prog was already complex, but what you
   made of it is beyond what is acceptable in code that should be
   maintained 5 and 10 years from now.

4) There is too much 'eval' in the code. As you have seen in an earlier
   patch today, every use of 'eval' can bring a security problem. The
   only uses of 'eval' that are always safe are variable assignments
 <raw_code>    when you can guarantee that 'var' is a simple identifier.

And, last not least, more comments would have been better.

So, globally, when you try to cache multiline strings, read from files,
in variables with computed identifiers, you are going far beyond what
shell as a language is suitable for.

Unfortunately, I don't see a better choice as an implementation language
of gnulib-tool:
  - Python is good for text processing but does incompatible changes
    in the language definition every couple of years.
  - Perl is excluded because of the misdesigned syntax, and it also
    has incompatible changes e.g. between perl 5.6 and 5.8.
  - Java is not good because although it is standardized and fast and
    GNU has a free implementation of it, its text processing is not
    expressive enough (too verbose).
  - m4 is maybe powerful but too few people know how to program it.

 <closing>"
